user_id,user_name,user_email,user_tier,order_id,order_date,order_total,order_refund_status,item_name,item_type,item_price,item_opened
usr_008,Mia Miller,mia.miller@example.com,Gold,ORD-2025-06-01-001,2026-06-01T00:00:00Z,409.97,None,Noise-Canceling Earbuds,physical,159.99,True
usr_008,Mia Miller,mia.miller@example.com,Gold,ORD-2025-06-01-001,2026-06-01T00:00:00Z,409.97,None,External SSD 1TB,physical,129.99,False
usr_009,Mason Lewis,mason.lewis@example.com,Gold,ORD-2025-06-21-001,2026-06-21T00:00:00Z,439.97,Pending,Webcam HD,physical,69.99,False
usr_009,Mason Lewis,mason.lewis@example.com,Gold,ORD-2025-06-21-001,2026-06-21T00:00:00Z,439.97,Pending,Smart Watch Pro,physical,249.99,False
usr_009,Mason Lewis,mason.lewis@example.com,Gold,ORD-2025-06-21-001,2026-06-21T00:00:00Z,439.97,Pending,Smart Home Hub,physical,119.99,True
usr_010,James Lee,james.lee@example.com,Silver,ORD-2025-07-01-001,2026-07-01T00:00:00Z,9.99,Denied,Subscription Monthly,digital,9.99,False
usr_010,James Lee,james.lee@example.com,Silver,ORD-2025-05-21-002,2026-05-21T00:00:00Z,69.98,None,Laptop Stand,physical,39.99,False
usr_010,James Lee,james.lee@example.com,Silver,ORD-2025-05-21-002,2026-05-21T00:00:00Z,69.98,None,E-Book Bundle,digital,29.99,False
usr_011,Sophia Garcia,sophia.garcia@example.com,Gold,ORD-2025-06-19-001,2026-06-19T00:00:00Z,119.99,None,Smart Home Hub,physical,119.99,True
usr_011,Sophia Garcia,sophia.garcia@example.com,Gold,ORD-2025-06-01-002,2026-06-01T00:00:00Z,309.98,Pending,Subscription Monthly,digital,9.99,False
usr_011,Sophia Garcia,sophia.garcia@example.com,Gold,ORD-2025-06-01-002,2026-06-01T00:00:00Z,309.98,Pending,Ergonomic Chair,physical,299.99,False
usr_012,Logan Rodriguez,logan.rodriguez@example.com,Silver,ORD-2025-06-27-001,2026-06-27T00:00:00Z,334.48,Pending,Gaming Headset,physical,59.99,True
usr_012,Logan Rodriguez,logan.rodriguez@example.com,Silver,ORD-2025-06-27-001,2026-06-27T00:00:00Z,334.48,Pending,Organic Coffee Beans,physical,24.5,True
usr_012,Logan Rodriguez,logan.rodriguez@example.com,Silver,ORD-2025-06-27-001,2026-06-27T00:00:00Z,334.48,Pending,Smart Watch Pro,physical,249.99,False
usr_012,Logan Rodriguez,logan.rodriguez@example.com,Silver,ORD-2025-06-26-002,2026-06-26T00:00:00Z,509.97,None,Noise-Canceling Earbuds,physical,159.99,True
usr_012,Logan Rodriguez,logan.rodriguez@example.com,Silver,ORD-2025-06-26-002,2026-06-26T00:00:00Z,509.97,None,Ergonomic Chair,physical,299.99,False
usr_012,Logan Rodriguez,logan.rodriguez@example.com,Silver,ORD-2025-06-26-002,2026-06-26T00:00:00Z,509.97,None,Digital Access Pass,digital,49.99,False
usr_013,Marcus Jackson,marcus.jackson@example.com,Silver,ORD-2025-06-06-001,2026-06-06T00:00:00Z,319.97,None,Gaming Mouse,physical,79.99,False
usr_013,Marcus Jackson,marcus.jackson@example.com,Silver,ORD-2025-06-06-001,2026-06-06T00:00:00Z,319.97,None,Online Course Access,digital,149.99,False
usr_013,Marcus Jackson,marcus.jackson@example.com,Silver,ORD-2025-06-06-001,2026-06-06T00:00:00Z,319.97,None,Wireless Headphones,physical,89.99,True
usr_013,Marcus Jackson,marcus.jackson@example.com,Silver,ORD-2025-06-28-002,2026-06-28T00:00:00Z,259.97,None,Online Course Access,digital,149.99,False
usr_013,Marcus Jackson,marcus.jackson@example.com,Silver,ORD-2025-06-28-002,2026-06-28T00:00:00Z,259.97,None,Gaming Mouse,physical,79.99,False
usr_013,Marcus Jackson,marcus.jackson@example.com,Silver,ORD-2025-06-28-002,2026-06-28T00:00:00Z,259.97,None,E-Book Bundle,digital,29.99,False
usr_014,Sarah Chen,sarah.chen@example.com,Silver,ORD-2025-06-06-001,2026-06-06T00:00:00Z,79.99,Refunded,Gaming Mouse,physical,79.99,False
usr_014,Sarah Chen,sarah.chen@example.com,Silver,ORD-2025-05-18-002,2026-05-18T00:00:00Z,24.99,Refunded,Wireless Charging Pad,physical,24.99,False
usr_015,Ethan Wilson,ethan.wilson@example.com,Gold,ORD-2025-05-26-001,2026-05-26T00:00:00Z,219.97,None,Digital Access Pass,digital,49.99,False
usr_015,Ethan Wilson,ethan.wilson@example.com,Gold,ORD-2025-05-26-001,2026-05-26T00:00:00Z,219.97,None,Laptop Stand,physical,39.99,False
usr_015,Ethan Wilson,ethan.wilson@example.com,Gold,ORD-2025-05-26-001,2026-05-26T00:00:00Z,219.97,None,Ergonomic Keyboard,physical,129.99,False
usr_015,Ethan Wilson,ethan.wilson@example.com,Gold,ORD-2025-06-25-002,2026-06-25T00:00:00Z,164.97,None,Wireless Charging Pad,physical,24.99,False
usr_015,Ethan Wilson,ethan.wilson@example.com,Gold,ORD-2025-06-25-002,2026-06-25T00:00:00Z,164.97,None,Wireless Headphones,physical,89.99,True
usr_015,Ethan Wilson,ethan.wilson@example.com,Gold,ORD-2025-06-25-002,2026-06-25T00:00:00Z,164.97,None,Digital Access Pass,digital,49.99,False
